,Dim1,Dim2,tokens,article,competitor
0,21.884321212768555,34.563175201416016,maternity,0,0
1,6.933464527130127,20.37699317932129,insurance,0,0
2,-3.5160369873046875,15.270575523376465,necessity,0,0
3,-25.2213077545166,-34.31565475463867,today,0,0
4,-3.5053274631500244,15.312836647033691,climate,0,0
5,5.66098690032959,10.367963790893555,topic,0,0
6,-21.60477066040039,4.863346099853516,discuss,0,0
7,-37.370521545410156,35.6850700378418,hope,0,0
8,6.627329349517822,-29.48090362548828,help,0,0
9,14.750144004821777,-25.554786682128906,soon,0,0
10,-27.11316680908203,-16.509965896606445,mothers,0,0
11,53.816036224365234,7.929065227508545,decision,0,0
12,38.96318817138672,-2.4558794498443604,making,0,0
13,53.79987716674805,-26.223857879638672,co,0,0
14,-32.739566802978516,49.977760314941406,##vid,0,0
15,-44.43404006958008,-6.839265823364258,expected,0,0
16,-44.32331085205078,-6.676039695739746,anyone,0,0
17,-45.70877456665039,-9.063234329223633,concerns,0,0
18,-31.166942596435547,14.150145530700684,contracting,0,0
19,-41.61203384399414,39.977203369140625,virus,0,0
20,-27.46068000793457,71.9453353881836,heightened,0,0
21,-35.15202713012695,17.554683685302734,often,0,0
22,-22.82012367248535,27.55426025390625,group,0,0
23,-36.484519958496094,-9.693438529968262,people,0,0
24,-50.308284759521484,-2.343824863433838,concern,0,0
25,-31.046066284179688,15.065461158752441,amplified,0,0
26,-31.141590118408203,14.975773811340332,arrival,0,0
27,-17.449047088623047,53.46963119506836,baby,0,0
28,59.36385726928711,-33.35795211791992,el,0,0
29,75.11312103271484,-20.44791603088379,##ab,0,0
30,66.71466064453125,-20.932323455810547,##ora,0,0
31,34.32448196411133,-26.96868133544922,##ting,0,0
32,-50.84775161743164,-14.50882625579834,particular,0,0
33,48.7356071472168,16.407365798950195,competitive,0,0
34,-47.472190856933594,-23.38387680053711,plan,0,0
35,19.310317993164062,23.673381805419922,market,0,0
36,56.53750991821289,-13.576263427734375,man,0,0
37,71.66229248046875,-11.281472206115723,##uli,0,0
38,50.805179595947266,-13.638092994689941,##fe,0,0
39,-4.641385078430176,35.32533264160156,ready,0,0
40,-4.860219478607178,35.416831970214844,##mum,0,0
41,-26.54526710510254,63.425079345703125,##my,0,0
42,-2.9748449325561523,-35.98012924194336,offers,0,0
43,-1.112944483757019,-8.107315063476562,standalone,0,0
44,22.270307540893555,34.977237701416016,pregnancy,0,0
45,-11.335013389587402,66.97943878173828,coverage,0,0
46,5.146006107330322,-4.602384567260742,means,0,0
47,-1.0275099277496338,-8.143329620361328,required,0,0
48,-18.419864654541016,0.4110081195831299,purchase,0,0
49,-38.922889709472656,40.348358154296875,bundle,0,0
50,-48.73149490356445,1.9001208543777466,solutions,0,0
51,-3.9067399501800537,9.797743797302246,option,0,0
52,19.383350372314453,-35.972904205322266,significant,0,0
53,1.3025773763656616,-63.721622467041016,like,0,0
54,-5.744162559509277,11.14913272857666,introduce,0,0
55,-39.66696548461914,-4.042041301727295,clients,0,0
56,-28.505128860473633,6.4230732917785645,expecting,0,0
57,33.16436004638672,38.130882263183594,children,0,0
58,-20.12055778503418,8.054011344909668,let,0,0
59,66.71084594726562,-20.93256187438965,expo,0,0
60,63.52831268310547,-24.62885284423828,##und,0,0
61,41.74756622314453,29.73665428161621,form,0,0
62,17.781116485595703,-28.708810806274414,following,0,0
63,-7.591952323913574,56.28327941894531,questions,0,0
64,-30.203943252563477,-21.609943389892578,plans,0,0
65,2.729177474975586,-36.21446228027344,apply,0,0
66,-17.40733528137207,-56.373680114746094,mainly,0,0
67,-15.512372970581055,7.115694999694824,cover,0,0
68,-24.932910919189453,41.46364974975586,complications,0,0
69,10.474466323852539,26.7145938873291,delivery,0,0
70,35.41905975341797,29.641841888427734,child,0,0
71,22.46866798400879,36.05522155761719,congenital,0,0
72,-34.47111892700195,14.354494094848633,conditions,0,0
73,22.21471405029297,34.82354736328125,newborn,0,0
74,4.655531406402588,2.064265727996826,pay,0,0
75,-3.4825568199157715,-18.016508102416992,cost,0,0
76,-8.943572044372559,36.91040802001953,pregnant,0,0
77,-15.368720054626465,37.73023986816406,week,0,0
78,-56.2119140625,23.90595817565918,ideally,0,0
79,-59.07936477661133,24.640705108642578,would,0,0
80,1.5145684480667114,-41.146942138671875,suggest,0,0
81,-15.841535568237305,21.702157974243164,early,0,0
82,-1.7278469800949097,-29.479633331298828,possible,0,0
83,31.762758255004883,38.13499069213867,case,0,0
84,-8.602951049804688,64.38392639160156,health,0,0
85,32.373291015625,-6.780807018280029,changes,0,0
86,-20.794614791870117,66.29502868652344,term,0,0
87,-55.43534469604492,35.135684967041016,cut,0,0
88,-29.52373695373535,11.642585754394531,applying,0,0
89,-30.27400779724121,12.62252140045166,weeks,0,0
90,1.0935477018356323,26.3259220123291,premium,0,0
91,39.1088752746582,-40.971004486083984,##s,0,0
92,60.505889892578125,-9.216290473937988,level,0,0
93,-41.22951126098633,14.666934967041016,##led,0,0
94,-43.44319534301758,1.0030797719955444,meaning,0,0
95,-14.505125045776367,35.90238571166992,change,0,0
96,-17.67972183227539,-13.138388633728027,covered,0,0
97,-39.44192886352539,40.01071548461914,yes,0,0
98,-14.10262680053711,-65.79474639892578,well,0,0
99,65.48572540283203,-9.902900695800781,sal,0,0
100,-13.696141242980957,50.26931381225586,##ient,0,0
101,-37.030029296875,46.68965148925781,examples,0,0
102,44.73798751831055,27.57842445373535,hospital,0,0
103,36.58600616455078,-3.316863775253296,care,0,0
104,16.018722534179688,5.988494873046875,benefit,0,0
