,Dim1,Dim2,tokens,article,competitor
20309,-36.22231674,-0.447480291,activities,55,2
21444,-5.216073513,2.156008959,activities,58,3
22139,-47.97969437,9.15500927,activities,59,3
27068,-36.15594482,-0.507152259,activities,71,3
28509,-1.222302914,-3.90545392,activities,74,3
30727,-1.228573084,-4.019244671,activities,80,3
32797,-1.202427268,-4.009571075,activities,86,4
25032,-29.14253044,-1.451963544,acts,66,3
25880,-8.658957481,-19.71851921,acts,68,3
35954,17.66675377,-53.57107544,acts,101,4
27378,-22.23353386,-24.63962173,adapting,72,3
552,-25.49833298,-13.31050873,added,1,0
4091,0.247494519,-29.02201462,added,8,0
29123,-42.98428345,-24.14302254,added,76,3
16458,1.495928049,6.613716602,adding,45,1
19158,-0.239591926,6.169019222,adding,52,2
15473,-37.68537903,-43.84516907,additionally,42,1
19259,-12.25945091,-16.7638092,additions,52,2
24855,-21.20377159,33.07291794,additive,66,3
31600,-32.87259674,-29.51856613,addressed,81,3
845,-6.821058273,-24.4390564,addresses,1,0
4607,8.636745453,-55.99472809,addresses,9,0
10223,8.641072273,-55.98448181,addresses,24,0
13239,8.133108139,-54.3026123,addresses,34,1
18665,13.55403042,-53.50123978,addresses,51,2
4102,38.68470383,-32.1108017,addressing,8,0
30623,8.502679825,-56.02721024,addressing,80,3
31408,-8.651639938,-20.85394669,addressing,81,3
9181,-35.40019608,-7.028382778,adds,21,0
13514,-35.28926468,-6.64793539,adds,35,1
14378,2.035841703,-43.27683258,adds,39,1
23193,-46.58137131,2.856830597,adds,62,3
35317,-5.649281979,-14.09924221,adds,99,4
35670,15.60896969,-59.18311691,adds,100,4
1812,-57.98151016,6.574461937,adequately,3,0
5146,4.639995575,-40.01068497,adequately,10,0
9189,-22.20872307,-23.73419189,adjusting,21,0
20143,46.31160736,-28.81174469,adjusting,55,2
20305,-58.64493561,-3.235202074,adjustments,55,2
28090,-45.09358597,3.540520191,adjustments,73,3
971,10.52842712,-38.44358826,administer,1,0
4665,10.70274162,-37.97057343,administer,9,0
18862,-5.211905479,-47.10123062,administer,51,2
28005,10.66151142,-37.73688507,administer,73,3
28330,10.81819725,-37.69250488,administer,74,3
35772,-18.46574974,-38.5032692,administer,100,4
881,-16.5864048,-37.33892822,administered,1,0
6502,4.30581522,-25.12469864,administered,13,0
17269,1.412079692,-29.41853523,administered,47,1
18151,-33.27116013,-28.53867531,administered,49,1
18275,-57.05201721,11.21478653,administered,50,2
18682,1.623326659,-31.4497242,administered,51,2
22282,-5.434926033,-24.02953148,administered,59,3
22948,-6.050786018,-24.24087143,administered,61,3
27632,-18.49019241,-36.64719772,administered,72,3
28015,-34.02635574,-28.75110817,administered,73,3
30094,-12.83611774,-28.75063133,administered,78,3
30796,1.097780585,-29.38685608,administered,80,3
31528,-61.21102905,7.994009018,administered,81,3
912,-9.871944427,-27.15323257,administering,1,0
18945,-15.25617981,-27.1997261,administering,51,2
22288,-10.12153625,-26.71546364,administering,59,3
22684,-9.99083519,-27.02121925,administering,60,3
26836,-9.99083519,-27.02121925,administering,70,3
36052,-10.14059258,-26.60519981,administering,101,4
3498,-18.90502167,-38.91151428,admitted,7,0
20426,6.764191151,-21.83367538,admitted,56,2
2522,10.22861576,-8.568926811,adolescence,5,0
15158,-38.01654434,2.619357824,adolescents,41,1
